id dangling.L dangling.R rejoined
205 2369 880 268
206 265 666 127
207 425 2326 114
208 2094 1229 187
209 816 624 111
210 1204 701 172
211 1214 690 68
212 484 1404 86
213 1678 741 109
214 846 1029 127
215 3479 1277 429
216 1178 1563 80
